full_name,selling_price,year,km_driven,fuel_type,mileage,max_power,company
Volkswagen Vento Diesel Highline,500000.0,2012.0,77400.0,Diesel,20.54,103.6,Volkswagen
Mahindra Marazzo M2 BSIV,990000.0,2019.0,36000.0,Diesel,17.3,121.0,Mahindra
Hyundai Verna SX Opt Diesel,551000.0,2013.0,47876.0,Diesel,25.0,113.42,Hyundai
Mahindra XUV500 W11 Option AT BSIV,1650000.0,2018.0,21500.0,Diesel,15.1,152.87,Mahindra
Hyundai Grand i10 CRDi Magna,350000.0,2015.0,75000.0,Diesel,24.0,70.0,Hyundai
Ford Aspire 1.2 Ti-VCT Titanium,500000.0,2017.0,58000.0,Petrol,18.16,86.8,Ford
Maruti Swift Dzire VXI 1.2,575000.0,2018.0,30000.0,Petrol,21.21,81.8,Maruti
Hyundai Grand i10 1.2 CRDi Asta,545000.0,2018.0,50000.0,Diesel,24.0,73.97,Hyundai
Ford Figo 1.2P Titanium MT,525000.0,2017.0,19093.0,Petrol,18.16,86.8,Ford
Honda Amaze E i-Vtech,400000.0,2014.0,50000.0,Petrol,18.0,86.7,Honda
Maruti Wagon R LXI BSIII,155000.0,2006.0,37000.0,Petrol,14.0,64.0,Maruti
Mahindra Supro VX 8 Str,540000.0,2019.0,3888.0,Diesel,23.5,45.0,Mahindra
Maruti Swift Dzire VDI,545000.0,2016.0,47000.0,Diesel,26.59,74.0,Maruti
Honda City V MT,545000.0,2013.0,70000.0,Petrol,16.8,116.3,Honda
Renault KWID RXL,240000.0,2016.0,25000.0,Petrol,25.17,53.3,Renault
Maruti Vitara Brezza LDi Option,725000.0,2018.0,26000.0,Diesel,24.3,88.5,Maruti
Ford Aspire 1.2 Ti-VCT Titanium Opt,480000.0,2017.0,30000.0,Petrol,18.16,86.8,Ford
Hyundai i20 Magna Optional 1.2,375000.0,2013.0,15000.0,Petrol,18.5,82.9,Hyundai
Maruti Swift VDi BSIII W/ ABS,225000.0,2011.0,160000.0,Diesel,17.8,75.0,Maruti
Tata Tiago 1.2 Revotron XZ,400000.0,2017.0,32100.0,Petrol,23.84,84.0,Tata
Hyundai i20 Magna Optional 1.2,550000.0,2016.0,22000.0,Petrol,18.5,82.9,Hyundai
Mahindra Scorpio S10 7 Seater,1050000.0,2016.0,44000.0,Diesel,15.4,120.0,Mahindra
Volkswagen Polo 1.2 MPI Trendline,450000.0,2016.0,78000.0,Petrol,18.78,74.0,Volkswagen
Mercedes-Benz C-Class C 200 CGI Elegance,775000.0,2012.0,74352.0,Petrol,11.74,186.0,Mercedes-Benz
Maruti Wagon R VXI,350000.0,2014.0,37000.0,Petrol,20.51,67.04,Maruti
Honda City i DTEC VX Option,550000.0,2014.0,69000.0,Diesel,25.1,98.6,Honda
Kia Seltos HTK Plus G,1080000.0,2019.0,12120.0,Petrol,16.8,113.4,Kia
Maruti Baleno Delta,575000.0,2016.0,52000.0,Petrol,21.01,81.8,Maruti
Toyota Innova 2.5 G (Diesel) 8 Seater,950000.0,2016.0,120000.0,Diesel,12.99,100.6,Toyota
Maruti Alto 800 LXI,229999.99999999997,2013.0,55000.0,Petrol,22.74,47.3,Maruti
Hyundai i20 1.4 CRDi Magna,270000.0,2011.0,160000.0,Diesel,21.9,90.0,Hyundai
Chevrolet Beat Diesel LS,165000.0,2012.0,42000.0,Diesel,25.44,56.3,Chevrolet
Ford Figo Petrol EXI,130000.0,2011.0,40000.0,Petrol,15.6,70.0,Ford
Maruti Swift Dzire VXI,370000.0,2012.0,46000.0,Petrol,19.1,85.8,Maruti
Maruti Baleno Delta 1.2,570000.0,2017.0,25000.0,Petrol,21.4,83.1,Maruti
Toyota Etios GD,390000.0,2015.0,240000.0,Diesel,23.59,67.05,Toyota
Volkswagen Polo Diesel Comfortline 1.2L,365000.0,2013.0,90000.0,Diesel,22.07,73.9,Volkswagen
Hyundai i20 Magna,280000.0,2012.0,49566.0,Petrol,18.5,82.85,Hyundai
Hyundai Verna CRDi 1.6 AT SX Option,1250000.0,2018.0,14000.0,Diesel,22.0,126.2,Hyundai
Hyundai i20 2015-2017 Sportz 1.2,590000.0,2016.0,11000.0,Petrol,18.6,81.83,Hyundai
Maruti Celerio VXI AMT BSIV,475000.0,2018.0,5000.0,Petrol,23.1,67.04,Maruti
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,685000.0,2017.0,55000.0,Diesel,23.0,98.96,Ford
Hyundai Verna SX CRDi AT,380000.0,2012.0,65000.0,Diesel,19.08,126.32,Hyundai
Renault KWID 1.0 RXT Optional,330000.0,2018.0,22000.0,Petrol,23.01,67.0,Renault
Maruti Baleno Delta,650000.0,2018.0,7671.0,Petrol,21.01,81.8,Maruti
Maruti Wagon R LXI,325000.0,2016.0,66000.0,Petrol,20.51,67.04,Maruti
Maruti Swift Dzire AMT VXI,640000.0,2018.0,45156.0,Petrol,21.21,81.8,Maruti
Hyundai Venue SX Opt Turbo BSIV,949000.0,2019.0,25000.0,Petrol,18.27,118.35,Hyundai
Nissan Terrano XL Plus 85 PS,750000.0,2015.0,70000.0,Diesel,20.45,83.8,Nissan
Hyundai Verna 1.6 CRDi SX,660000.0,2015.0,120000.0,Diesel,23.9,126.2,Hyundai
Maruti Swift VXi BSIV,434999.99999999994,2014.0,28000.0,Petrol,16.1,85.0,Maruti
Hyundai i20 Sportz 1.4 CRDi,385000.0,2013.0,55000.0,Diesel,21.9,88.76,Hyundai
Hyundai Santa Fe 4X2,1000000.0,2011.0,104000.0,Diesel,14.66,194.3,Hyundai
Hyundai Verna CRDi 1.6 AT SX Option,1250000.0,2019.0,14000.0,Diesel,22.0,126.2,Hyundai
Hyundai Xcent 1.2 VTVT SX,550000.0,2017.0,18000.0,Petrol,20.14,81.86,Hyundai
Maruti Wagon R LX BS IV,155000.0,2009.0,98780.0,Petrol,18.9,67.1,Maruti
Maruti Swift VDI BSIV,415000.00000000006,2015.0,58000.0,Diesel,25.2,74.0,Maruti
Maruti Alto K10 2010-2014 VXI,250999.99999999997,2011.0,30000.0,Petrol,20.92,67.1,Maruti
Mahindra Scorpio S10 7 Seater,1150000.0,2016.0,46400.0,Diesel,15.4,120.0,Mahindra
Hyundai i10 Magna 1.1L,310000.0,2014.0,32111.0,Petrol,19.81,68.05,Hyundai
Datsun GO Plus T BSIV,350000.0,2015.0,35000.0,Petrol,19.44,67.0,Datsun
Mahindra Scorpio 1.99 S6 Plus,1125000.0,2017.0,30000.0,Diesel,15.4,120.0,Mahindra
BMW 5 Series 530d M Sport,2600000.0,2016.0,63000.0,Diesel,18.59,261.49,BMW
Chevrolet Beat LT,200000.0,2017.0,43890.0,Petrol,17.8,76.8,Chevrolet
Datsun GO Plus Anniversary Edition,480000.0,2018.0,10000.0,Petrol,20.62,67.0,Datsun
Maruti Swift Dzire AMT ZDI Plus,850000.0,2017.0,25000.0,Diesel,28.4,74.02,Maruti
Hyundai Creta 1.6 CRDi AT SX Plus,1100000.0,2017.0,102000.0,Diesel,17.01,126.2,Hyundai
Maruti Swift VXI 2018,575000.0,2018.0,35000.0,Petrol,22.0,81.8,Maruti
Maruti Swift Dzire VXi,340000.0,2012.0,49948.0,Petrol,17.5,85.8,Maruti
Tata Indigo eLX BS IV,559000.0,2018.0,114851.0,Diesel,25.0,69.01,Tata
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,925000.0,2018.0,55000.0,Diesel,23.0,98.96,Ford
Hyundai Grand i10 Magna,400000.0,2015.0,36000.0,Petrol,18.9,82.0,Hyundai
Hyundai Xcent 1.2 CRDi S,560000.0,2019.0,35000.0,Diesel,25.4,73.97,Hyundai
Honda City i VTEC VX Option,725000.0,2016.0,49625.0,Petrol,17.8,117.3,Honda
Maruti Swift Dzire ZDI,600000.0,2014.0,35000.0,Diesel,23.4,74.0,Maruti
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,550000.0,2013.0,95000.0,Diesel,12.05,120.0,Mahindra
Ford Aspire 1.5 TDCi Titanium,585000.0,2017.0,36000.0,Diesel,25.83,99.0,Ford
Maruti Wagon R VXI,411000.00000000006,2019.0,50000.0,Petrol,21.79,67.05,Maruti
Maruti Swift Dzire VXI,450000.0,2015.0,26500.0,Petrol,20.85,83.14,Maruti
Honda CR-V 2.0L 2WD AT,1290000.0,2015.0,80000.0,Petrol,13.7,153.86,Honda
Volkswagen Polo 1.2 MPI Highline,455000.0,2015.0,46000.0,Petrol,16.47,74.0,Volkswagen
Hyundai Grand i10 Nios Asta,710000.0,2019.0,9000.0,Petrol,20.7,81.86,Hyundai
Mahindra TUV 300 T4,450000.0,2016.0,70000.0,Diesel,18.49,100.0,Mahindra
Toyota Etios Liva 1.2 VX,465000.00000000006,2015.0,33000.0,Petrol,17.71,78.9,Toyota
Honda City V MT,770000.0,2016.0,53000.0,Petrol,16.8,116.3,Honda
Tata Indigo LS (TDI) BS-III,320000.0,2015.0,50000.0,Diesel,19.09,69.01,Tata
Tata Indigo LX (TDI) BS-III,325000.0,2015.0,50000.0,Diesel,19.09,69.01,Tata
Ford Endeavour 3.2 Titanium AT 4X4,2900000.0,2018.0,11387.0,Diesel,10.91,197.0,Ford
Honda Amaze VX i-DTEC,720000.0,2018.0,50000.0,Diesel,25.8,98.6,Honda
Mahindra KUV 100 mFALCON D75 K6 5str,375000.0,2016.0,52000.0,Diesel,25.32,77.0,Mahindra
Chevrolet Aveo 1.4 LT ABS BSIV,145000.0,2010.0,60000.0,Petrol,14.49,92.7,Chevrolet
Datsun GO Plus T BSIV,400000.0,2015.0,35000.0,Petrol,19.44,67.0,Datsun
Renault Duster 85PS Diesel RxL Plus,600000.0,2015.0,48000.0,Diesel,19.87,83.8,Renault
Honda Jazz 1.2 V i VTEC,600000.0,2018.0,18000.0,Petrol,18.7,88.7,Honda
Maruti Wagon R LXI DUO,270000.0,2012.0,57413.0,LPG,14.4,61.7,Maruti
Hyundai i20 Magna 1.2,500000.0,2015.0,30000.0,Petrol,18.6,81.83,Hyundai
Hyundai Verna 1.6 CRDi SX,650000.0,2015.0,55000.0,Diesel,23.9,126.2,Hyundai
Chevrolet Sail 1.2 LS ABS,380000.0,2015.0,120000.0,Petrol,18.2,82.4,Chevrolet
Mitsubishi Pajero Sport 4X4,728000.0,2012.0,165000.0,Diesel,13.5,175.56,Mitsubishi
Maruti Swift AMT ZXI,660000.0,2018.0,10000.0,Petrol,21.21,81.8,Maruti
Tata Indica Vista Aura 1.3 Quadrajet,180000.0,2010.0,120000.0,Diesel,18.0,75.0,Tata
BMW 3 Series 320d Luxury Line,2089999.9999999998,2016.0,68000.0,Diesel,22.69,190.0,BMW
Chevrolet Beat Diesel LS,250000.0,2015.0,55000.0,Diesel,25.44,56.3,Chevrolet
Kia Seltos HTK Plus G,1275000.0,2020.0,8000.0,Petrol,16.8,113.4,Kia
Toyota Corolla Altis G,455000.0,2012.0,80000.0,Petrol,14.53,138.1,Toyota
Maruti Swift VDI,495000.0,2015.0,65000.0,Diesel,28.4,74.0,Maruti
Maruti Ritz VXI,220000.00000000003,2010.0,47000.0,Petrol,21.1,85.8,Maruti
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,800000.0,2018.0,185000.0,Diesel,25.1,88.5,Maruti
Hyundai Santa Fe 2WD AT,1295000.0,2014.0,68000.0,Diesel,13.01,194.3,Hyundai
Hyundai Grand i10 Sportz,475000.0,2016.0,25000.0,Petrol,18.9,82.0,Hyundai
Tata Sumo Gold EX,380000.0,2014.0,280000.0,Diesel,15.3,83.83,Tata
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,900000.0,2018.0,7791.0,Diesel,25.1,88.5,Maruti
Maruti Ciaz VXi Plus,530000.0,2015.0,70000.0,Petrol,20.73,91.1,Maruti
Tata Tiago 1.2 Revotron XZ,530000.0,2016.0,9500.0,Petrol,23.84,84.0,Tata
Hyundai Verna 1.6 VTVT S,650000.0,2015.0,9100.0,Petrol,17.01,121.3,Hyundai
Honda New Accord 2008-2011 2.4 MT,495000.0,2010.0,82000.0,Petrol,12.8,177.6,Honda
Honda City 1.5 S MT,335000.0,2010.0,86000.0,Petrol,17.0,118.0,Honda
Audi Q5 40 TDI Technology,4675000.0,2020.0,19000.0,Diesel,17.01,188.0,Audi
Audi A4 2.0 TDI,1290000.0,2013.0,78000.0,Diesel,16.55,147.51,Audi
Ford Figo Diesel Titanium,300000.0,2011.0,60000.0,Diesel,20.0,68.0,Ford
Maruti Wagon R ZXI AMT 1.2BSIV,550000.0,2019.0,7883.0,Petrol,21.5,81.8,Maruti
Maruti Swift Dzire LDI,390000.0,2013.0,50205.0,Diesel,23.4,74.0,Maruti
Mahindra Bolero DI AC BSIII,260000.0,2008.0,220000.0,Diesel,13.6,63.0,Mahindra
Tata Tigor 1.05 Revotorq XT,395000.0,2017.0,58000.0,Diesel,24.7,69.0,Tata
Mahindra Scorpio SLE BSIII,550000.0,2012.0,170000.0,Diesel,12.05,120.0,Mahindra
Maruti Swift Dzire VXI 1.2 BS IV,650000.0,2018.0,15000.0,Petrol,22.0,81.8,Maruti
Maruti Swift DDiS LDI,375000.0,2016.0,71245.0,Diesel,28.4,74.0,Maruti
Tata Manza ELAN Quadrajet BS IV,300000.0,2012.0,20000.0,Diesel,21.12,88.8,Tata
Toyota Etios VX,450000.0,2016.0,52000.0,Petrol,16.78,88.73,Toyota
Honda Brio S MT,335000.0,2015.0,61000.0,Petrol,19.4,86.8,Honda
Kia Seltos GTK,1300000.0,2019.0,7000.0,Petrol,16.1,138.0,Kia
Maruti Alto K10 VXI,360000.0,2018.0,20000.0,Petrol,23.95,67.05,Maruti
Maruti Celerio ZXI,505000.0,2020.0,8700.0,Petrol,21.63,67.04,Maruti
Maruti Alto 800 LXI,310000.0,2019.0,25000.0,Petrol,24.7,47.3,Maruti
Hyundai i20 Asta Option BSIV,545000.0,2015.0,42000.0,Petrol,18.6,81.86,Hyundai
Mahindra Xylo E4,300000.0,2009.0,120000.0,Diesel,14.0,112.0,Mahindra
Chevrolet Aveo 1.4 LS Limited Edition,200000.0,2009.0,60000.0,Petrol,14.4,94.0,Chevrolet
Mahindra Bolero DI,150000.0,2006.0,120000.0,Diesel,13.6,63.0,Mahindra
Maruti Baleno Delta 1.2,580000.0,2018.0,50000.0,Petrol,21.4,83.1,Maruti
Maruti Wagon R VXI BS IV,250000.0,2011.0,58000.0,Petrol,18.9,67.1,Maruti
Hyundai Verna 1.4 VTVT,650000.0,2017.0,36000.0,Petrol,17.43,105.5,Hyundai
Maruti SX4 S Cross DDiS 200 Zeta,800000.0,2016.0,80000.0,Diesel,23.65,88.5,Maruti
Audi Q3 2.0 TDI Quattro Premium Plus,1475000.0,2013.0,71000.0,Diesel,15.73,174.33,Audi
Maruti Ertiga VDI,409999.99999999994,2018.0,30000.0,Diesel,25.47,88.5,Maruti
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,531000.0,2015.0,162828.0,Diesel,22.77,98.59,Ford
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,890000.0,2018.0,7500.0,Diesel,23.0,98.96,Ford
Tata Safari Storme EX,775000.0,2016.0,47227.0,Diesel,14.0,138.1,Tata
Ford Figo Diesel ZXI,185000.0,2012.0,74000.0,Diesel,20.0,68.05,Ford
Mahindra Bolero 2011-2019 SLX,440000.00000000006,2011.0,47000.0,Diesel,15.96,62.1,Mahindra
Hyundai i20 Sportz 1.2,450000.0,2015.0,50000.0,Petrol,18.6,81.83,Hyundai
Maruti Baleno Zeta 1.2,600000.0,2017.0,100000.0,Petrol,21.4,83.1,Maruti
Maruti Celerio VXI,320000.0,2014.0,35000.0,Petrol,23.1,67.04,Maruti
Hyundai i20 Active 1.4 SX,700000.0,2016.0,50000.0,Diesel,21.19,88.73,Hyundai
Ford Aspire 1.2 Ti-VCT Titanium,630000.0,2018.0,10000.0,Petrol,18.16,86.8,Ford
Maruti Alto 800 VXI Airbag,320000.0,2016.0,10370.0,Petrol,22.74,47.3,Maruti
Honda City V MT,465000.00000000006,2013.0,62000.0,Petrol,16.8,116.3,Honda
Tata Manza Aura Quadrajet BS IV,275000.0,2011.0,70000.0,Diesel,21.12,88.8,Tata
Nissan Sunny Diesel XL,370000.0,2013.0,250000.0,Diesel,21.64,84.8,Nissan
Hyundai i20 Sportz 1.2,550000.0,2016.0,40000.0,Petrol,18.6,81.83,Hyundai
Maruti Swift VVT VXI,445000.0,2017.0,60000.0,Petrol,22.0,81.8,Maruti
Tata Safari Storme VX,705000.0,2013.0,67231.0,Diesel,14.0,138.1,Tata
Nissan Micra Diesel XV,420000.0,2012.0,142587.0,Diesel,23.08,63.1,Nissan
Honda City i DTec SV,475000.0,2014.0,63000.0,Diesel,26.0,98.6,Honda
Toyota Fortuner 4x4 MT,1755000.0,2015.0,80000.0,Diesel,12.55,168.5,Toyota
Honda City 2017-2020 VTEC,350000.0,2011.0,55000.0,Petrol,16.9,100.0,Honda
Hyundai i20 2015-2017 Sportz Option 1.2,575000.0,2016.0,11000.0,Petrol,18.6,81.83,Hyundai
Toyota Etios Liva GD,466000.0,2016.0,66000.0,Diesel,23.59,67.06,Toyota
Renault KWID 1.0 RXT Optional,360000.0,2017.0,17000.0,Petrol,23.01,67.0,Renault
Maruti Alto 800 VXI Optional,275000.0,2017.0,25000.0,Petrol,24.7,47.3,Maruti
Datsun GO Plus D,320000.0,2016.0,33350.0,Petrol,19.44,67.0,Datsun
Hyundai Grand i10 Magna,370000.0,2015.0,62000.0,Petrol,18.9,82.0,Hyundai
Honda Brio E MT,250000.0,2013.0,30000.0,Petrol,19.4,86.8,Honda
Maruti Swift Dzire ZXi,275000.0,2009.0,59000.0,Petrol,17.5,85.8,Maruti
Mercedes-Benz GLA AMG 45 4MATIC,1950000.0,2015.0,20000.0,Petrol,12.33,375.48,Mercedes-Benz
Honda City i VTEC V,550000.0,2014.0,86113.0,Petrol,17.4,117.3,Honda
Toyota Corolla Altis Diesel D4DG,1325000.0,2016.0,45000.0,Diesel,21.43,87.2,Toyota
Maruti Swift Dzire VDI,750000.0,2018.0,10000.0,Diesel,28.4,74.02,Maruti
Nissan Micra XV,290000.0,2011.0,70000.0,Petrol,18.06,75.0,Nissan
Maruti Wagon R VXI,272000.0,2015.0,92537.0,Petrol,20.51,67.04,Maruti
Maruti Ciaz 1.3 Alpha,951000.0,2019.0,27645.0,Diesel,28.09,88.5,Maruti
Maruti Alto K10 2010-2014 VXI,280000.0,2013.0,46242.0,Petrol,20.92,67.1,Maruti
Honda City V MT AVN,545000.0,2013.0,70000.0,Petrol,16.8,116.3,Honda
Renault KWID RXT,450000.0,2020.0,6000.0,Petrol,22.3,53.26,Renault
Hyundai i20 2015-2017 Magna 1.2,480000.0,2017.0,64000.0,Petrol,18.6,81.83,Hyundai
Mahindra Scorpio 1.99 S10,1060000.0,2017.0,93000.0,Diesel,15.4,120.0,Mahindra
Maruti Alto 800 LXI,235000.0,2013.0,26200.0,Petrol,22.74,47.3,Maruti
Maruti Baleno Zeta 1.2,590000.0,2017.0,25000.0,Petrol,21.4,83.1,Maruti
Mahindra TUV 300 mHAWK100 T8 Dual Tone,750000.0,2017.0,80000.0,Diesel,18.49,100.0,Mahindra
Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,2950000.0,2018.0,50000.0,Diesel,12.9,174.5,Toyota
Hyundai Santro Xing GLS,110000.00000000001,2008.0,80000.0,Petrol,17.92,62.1,Hyundai
Mahindra Scorpio M2DI,280000.0,2007.0,110000.0,Diesel,13.5,115.0,Mahindra
Audi A4 30 TFSI Premium Plus,1851000.0000000002,2016.0,55000.0,Petrol,17.84,147.51,Audi
Honda City i-VTEC S,750000.0,2018.0,25000.0,Petrol,17.4,117.3,Honda
Hyundai Grand i10 Magna,400000.0,2015.0,36000.0,Petrol,18.9,81.86,Hyundai
Maruti Swift Dzire ZDI,530000.0,2015.0,40000.0,Diesel,26.59,74.0,Maruti
Mahindra Thar CRDe,869999.9999999999,2018.0,25000.0,Diesel,16.55,105.0,Mahindra
